date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
11-2022,1.0,0.987228,0.974512,0.961854,0.949252,0.936707,0.92422,0.91179,0.899419,0.887105,0.87485,0.862654,0.850517,0.838439,0.82642,0.814461,0.802562,0.790724,0.778945,0.767228,0.755572,0.743978,0.732445,0.720974,0.709566,0.69822,0.686937,0.675717,0.664562,0.65347,0.642442,0.631479,0.620581,0.609748,0.598982,0.588281,0.577646,0.567079,0.556578,0.546146,0.535781,0.525484,0.515257,0.505099,0.49501,0.484992,0.475044,0.465167,0.455362,0.445629,0.435968,0.42638,0.416866,0.407426,0.39806,0.388769,0.379555,0.370416,0.361354,0.352369,0.343463,0.334635,0.325886,0.317217,0.308629,0.300123,0.291698,0.283356,0.275098,0.266923,0.258834,0.250831,0.242915,0.235086,0.227346,0.219695,0.212135,0.204666,0.19729,0.190007,0.182819,0.175727,0.168732,0.161835,0.155037,0.14834,0.141746,0.135255,0.12887,0.122591,0.116422,0.110362,0.104415,0.098581,0.092864,0.087266,0.081788,0.076433,0.071205,0.066105,0.061137,0.056303,0.051609,0.047056,0.04265,0.038396,0.034297,0.03036,0.026592,0.022998,0.019588,0.016371,0.013358,0.010563,0.008001,0.005696,0.003675,0.001982,0.000689,0.0
12-2022,1.0,0.986452,0.972975,0.959569,0.946234,0.93297,0.919778,0.906657,0.893608,0.880632,0.867728,0.854897,0.842139,0.829454,0.816843,0.804306,0.791842,0.779453,0.767139,0.7549,0.742735,0.730647,0.718634,0.706697,0.694837,0.683053,0.671346,0.659717,0.648165,0.636691,0.625296,0.613979,0.602741,0.591583,0.580504,0.569505,0.558587,0.547749,0.536993,0.526318,0.515725,0.505214,0.494787,0.484442,0.474181,0.464003,0.453911,0.443903,0.43398,0.424143,0.414393,0.404729,0.395152,0.385663,0.376262,0.36695,0.357727,0.348594,0.339552,0.3306,0.32174,0.312971,0.304296,0.295714,0.287225,0.278832,0.270533,0.262331,0.254225,0.246217,0.238306,0.230495,0.222783,0.215172,0.207662,0.200254,0.19295,0.185749,0.178653,0.171663,0.16478,0.158005,0.151339,0.144783,0.138338,0.132006,0.125787,0.119684,0.113697,0.107828,0.102078,0.096449,0.090943,0.085561,0.080306,0.075178,0.07018,0.065315,0.060584,0.055989,0.051535,0.047222,0.043055,0.039036,0.035169,0.031458,0.027907,0.02452,0.021303,0.018261,0.015402,0.012732,0.01026,0.007997,0.005956,0.004153,0.002608,0.001354,0.000442,0.0
01-2023,1.0,0.986874,0.973812,0.960812,0.947875,0.935002,0.922193,0.909448,0.896767,0.88415,0.871598,0.859111,0.846689,0.834333,0.822042,0.809818,0.79766,0.785568,0.773543,0.761586,0.749696,0.737873,0.726119,0.714433,0.702816,0.691267,0.679788,0.668379,0.657039,0.64577,0.634572,0.623444,0.612388,0.601403,0.59049,0.57965,0.568882,0.558188,0.547567,0.53702,0.526547,0.516149,0.505826,0.495579,0.485408,0.475313,0.465295,0.455354,0.445492,0.435707,0.426001,0.416375,0.406828,0.397361,0.387975,0.378671,0.369448,0.360308,0.351251,0.342277,0.333388,0.324584,0.315865,0.307232,0.298686,0.290227,0.281856,0.273575,0.265382,0.257281,0.24927,0.241351,0.233526,0.225793,0.218156,0.210613,0.203167,0.195819,0.188568,0.181417,0.174367,0.167418,0.160571,0.153829,0.147192,0.140661,0.134237,0.127923,0.12172,0.115629,0.109652,0.10379,0.098045,0.09242,0.086915,0.081534,0.076278,0.07115,0.066152,0.061287,0.056557,0.051967,0.047518,0.043215,0.039062,0.035062,0.031221,0.027544,0.024036,0.020704,0.017556,0.014599,0.011845,0.009305,0.006994,0.004932,0.003143,0.001666,0.000563,0.0
02-2023,1.0,0.987329,0.974714,0.962153,0.949647,0.937197,0.924802,0.912464,0.900181,0.887955,0.875786,0.863674,0.851619,0.839621,0.827681,0.815799,0.803975,0.792209,0.780503,0.768855,0.757267,0.745739,0.734271,0.722862,0.711515,0.700228,0.689003,0.677839,0.666736,0.655696,0.644719,0.633804,0.622953,0.612165,0.601441,0.590781,0.580186,0.569657,0.559192,0.548793,0.538461,0.528195,0.517996,0.507865,0.497801,0.487806,0.47788,0.468023,0.458235,0.448518,0.438872,0.429296,0.419793,0.410361,0.401003,0.391717,0.382506,0.373369,0.364307,0.35532,0.34641,0.337577,0.328821,0.320143,0.311544,0.303025,0.294586,0.286228,0.277951,0.269757,0.261647,0.25362,0.245679,0.237823,0.230055,0.222374,0.214782,0.207279,0.199867,0.192547,0.18532,0.178187,0.171149,0.164208,0.157365,0.150621,0.143978,0.137436,0.130999,0.124666,0.118441,0.112324,0.106318,0.100425,0.094646,0.088984,0.083442,0.078021,0.072725,0.067556,0.062518,0.057613,0.052846,0.04822,0.04374,0.039409,0.035235,0.031221,0.027374,0.023702,0.020214,0.016918,0.013827,0.010954,0.008316,0.005936,0.003843,0.002083,0.000731,0.0
03-2023,1.0,0.988037,0.976117,0.96424,0.952407,0.940618,0.928873,0.917171,0.905515,0.893903,0.882336,0.870814,0.859337,0.847906,0.836521,0.825182,0.813889,0.802643,0.791444,0.780292,0.769188,0.758131,0.747122,0.736162,0.72525,0.714386,0.703572,0.692808,0.682093,0.671428,0.660814,0.65025,0.639737,0.629276,0.618866,0.608509,0.598204,0.587951,0.577752,0.567607,0.557515,0.547477,0.537495,0.527567,0.517695,0.507879,0.498119,0.488416,0.47877,0.469182,0.459652,0.450181,0.440769,0.431416,0.422124,0.412893,0.403723,0.394615,0.385569,0.376586,0.367666,0.358811,0.350021,0.341296,0.332637,0.324045,0.315521,0.307065,0.298678,0.290361,0.282114,0.273939,0.265836,0.257806,0.24985,0.24197,0.234165,0.226437,0.218787,0.211217,0.203726,0.196317,0.188991,0.181748,0.174591,0.16752,0.160538,0.153645,0.146843,0.140134,0.13352,0.127002,0.120583,0.114264,0.108049,0.101938,0.095934,0.090041,0.084261,0.078598,0.073053,0.067632,0.062337,0.057174,0.052147,0.04726,0.04252,0.037933,0.033506,0.029248,0.025167,0.021275,0.017586,0.014115,0.010884,0.007917,0.005253,0.002946,0.001096,0.0
04-2023,1.0,0.988267,0.976574,0.964921,0.953307,0.941734,0.930201,0.918709,0.907258,0.895848,0.884478,0.873151,0.861865,0.850621,0.839419,0.82826,0.817143,0.80607,0.795039,0.784052,0.773109,0.76221,0.751354,0.740544,0.729778,0.719057,0.708382,0.697752,0.687168,0.676631,0.66614,0.655695,0.645299,0.634949,0.624648,0.614394,0.604189,0.594033,0.583927,0.573869,0.563862,0.553906,0.543999,0.534145,0.524341,0.51459,0.504891,0.495245,0.485652,0.476112,0.466627,0.457197,0.447821,0.438502,0.429238,0.420031,0.410881,0.401789,0.392755,0.38378,0.374864,0.366008,0.357213,0.34848,0.339808,0.331199,0.322653,0.314171,0.305754,0.297402,0.289117,0.280899,0.272749,0.264667,0.256656,0.248715,0.240845,0.233049,0.225325,0.217677,0.210104,0.202609,0.195191,0.187853,0.180596,0.173421,0.16633,0.159324,0.152404,0.145573,0.138832,0.132183,0.125628,0.11917,0.112809,0.106549,0.100392,0.094341,0.088399,0.082568,0.076852,0.071256,0.065781,0.060434,0.055218,0.050139,0.045203,0.040416,0.035785,0.031319,0.027028,0.022923,0.019018,0.01533,0.01188,0.008695,0.005815,0.003298,0.001251,0.0
05-2023,1.0,0.987216,0.974489,0.961819,0.949206,0.936651,0.924153,0.911713,0.899331,0.887007,0.874743,0.862537,0.85039,0.838302,0.826275,0.814307,0.802399,0.790552,0.778766,0.767041,0.755377,0.743775,0.732235,0.720757,0.709341,0.697989,0.686699,0.675473,0.664311,0.653213,0.64218,0.631211,0.620308,0.60947,0.598699,0.587993,0.577354,0.566782,0.556278,0.545841,0.535473,0.525173,0.514942,0.504781,0.494689,0.484668,0.474718,0.464839,0.455032,0.445297,0.435635,0.426045,0.41653,0.407089,0.397722,0.388431,0.379216,0.370077,0.361015,0.352031,0.343124,0.334297,0.325549,0.316882,0.308295,0.29979,0.291367,0.283027,0.27477,0.266599,0.258512,0.250512,0.242598,0.234773,0.227036,0.219389,0.211832,0.204367,0.196995,0.189717,0.182533,0.175445,0.168455,0.161563,0.154771,0.14808,0.141491,0.135006,0.128627,0.122354,0.116191,0.110138,0.104197,0.098371,0.092661,0.08707,0.081599,0.076252,0.071031,0.065939,0.060979,0.056154,0.051468,0.046924,0.042526,0.03828,0.034191,0.030263,0.026503,0.022918,0.019517,0.016309,0.013305,0.010518,0.007966,0.005669,0.003656,0.00197,0.000685,0.0
06-2023,1.0,0.98633,0.972732,0.959208,0.945757,0.932379,0.919076,0.905847,0.892692,0.879611,0.866605,0.853675,0.84082,0.82804,0.815336,0.802709,0.790157,0.777683,0.765285,0.752965,0.740722,0.728557,0.71647,0.704461,0.692532,0.680681,0.668909,0.657217,0.645605,0.634073,0.622622,0.611252,0.599962,0.588755,0.57763,0.566586,0.555626,0.544748,0.533954,0.523244,0.512618,0.502076,0.491619,0.481248,0.470962,0.460763,0.45065,0.440624,0.430686,0.420836,0.411074,0.401401,0.391818,0.382324,0.37292,0.363608,0.354387,0.345258,0.336221,0.327277,0.318427,0.309671,0.30101,0.292444,0.283974,0.275601,0.267325,0.259147,0.251067,0.243087,0.235207,0.227428,0.219751,0.212176,0.204704,0.197337,0.190074,0.182917,0.175867,0.168924,0.16209,0.155366,0.148753,0.142251,0.135863,0.129588,0.123429,0.117387,0.111463,0.105658,0.099974,0.094413,0.088975,0.083663,0.078478,0.073423,0.068499,0.063708,0.059053,0.054535,0.050158,0.045924,0.041836,0.037897,0.034111,0.03048,0.02701,0.023704,0.020568,0.017606,0.014826,0.012235,0.00984,0.007653,0.005684,0.00395,0.002471,0.001275,0.000412,0.0
07-2023,1.0,0.987387,0.974827,0.962322,0.949871,0.937474,0.925132,0.912845,0.900613,0.888436,0.876316,0.864251,0.852242,0.84029,0.828394,0.816556,0.804774,0.793051,0.781385,0.769777,0.758227,0.746737,0.735305,0.723932,0.712619,0.701366,0.690173,0.679041,0.667969,0.656959,0.64601,0.635123,0.624298,0.613535,0.602836,0.5922,0.581627,0.571119,0.560675,0.550296,0.539982,0.529733,0.519551,0.509435,0.499386,0.489404,0.47949,0.469645,0.459868,0.45016,0.440522,0.430954,0.421456,0.41203,0.402676,0.393394,0.384184,0.375049,0.365987,0.356999,0.348087,0.339251,0.330491,0.321809,0.313204,0.304678,0.296231,0.287864,0.279577,0.271373,0.26325,0.255211,0.247255,0.239385,0.2316,0.223902,0.216292,0.208771,0.201339,0.193998,0.186749,0.179593,0.172532,0.165566,0.158697,0.151926,0.145255,0.138685,0.132217,0.125854,0.119598,0.113449,0.107409,0.101482,0.095668,0.08997,0.084391,0.078933,0.073599,0.068391,0.063313,0.058368,0.053559,0.048891,0.044368,0.039994,0.035776,0.031718,0.027827,0.02411,0.020577,0.017236,0.014099,0.011182,0.0085,0.006076,0.003942,0.002142,0.000755,0.0
08-2023,1.0,0.98751,0.975072,0.962686,0.950351,0.93807,0.92584,0.913664,0.901541,0.889471,0.877455,0.865492,0.853584,0.841729,0.82993,0.818185,0.806496,0.794862,0.783283,0.771761,0.760295,0.748885,0.737532,0.726237,0.714998,0.703818,0.692695,0.681631,0.670626,0.65968,0.648793,0.637965,0.627198,0.616491,0.605845,0.59526,0.584737,0.574275,0.563876,0.553539,0.543265,0.533055,0.522909,0.512826,0.502809,0.492857,0.48297,0.47315,0.463395,0.453708,0.444089,0.434537,0.425054,0.41564,0.406295,0.397021,0.387817,0.378685,0.369624,0.360635,0.35172,0.342878,0.334111,0.325418,0.316802,0.308261,0.299798,0.291412,0.283105,0.274877,0.266729,0.258663,0.250678,0.242776,0.234957,0.227223,0.219575,0.212013,0.204539,0.197153,0.189857,0.182653,0.17554,0.168521,0.161597,0.154769,0.148038,0.141406,0.134876,0.128447,0.122123,0.115904,0.109793,0.103792,0.097903,0.092128,0.086469,0.08093,0.075512,0.07022,0.065055,0.060022,0.055124,0.050365,0.045749,0.041281,0.036967,0.032813,0.028825,0.02501,0.021378,0.017938,0.014703,0.011687,0.008908,0.006389,0.004163,0.002276,0.00081,0.0
09-2023,1.0,0.986978,0.974018,0.961118,0.94828,0.935504,0.922789,0.910136,0.897546,0.885018,0.872554,0.860152,0.847814,0.835539,0.823328,0.811181,0.799099,0.787082,0.775129,0.763242,0.75142,0.739664,0.727975,0.716352,0.704795,0.693306,0.681884,0.67053,0.659244,0.648026,0.636877,0.625798,0.614787,0.603847,0.592976,0.582176,0.571447,0.560789,0.550203,0.539689,0.529248,0.518879,0.508583,0.498362,0.488214,0.478141,0.468143,0.45822,0.448374,0.438603,0.42891,0.419294,0.409756,0.400297,0.390916,0.381615,0.372394,0.363253,0.354194,0.345217,0.336321,0.327509,0.318781,0.310137,0.301578,0.293104,0.284717,0.276417,0.268205,0.260081,0.252047,0.244103,0.23625,0.228489,0.220821,0.213246,0.205766,0.198382,0.191094,0.183904,0.176812,0.169821,0.162931,0.156142,0.149458,0.142878,0.136405,0.130039,0.123782,0.117636,0.111602,0.105682,0.099878,0.094192,0.088625,0.08318,0.07786,0.072665,0.0676,0.062667,0.057868,0.053207,0.048687,0.044312,0.040085,0.036012,0.032097,0.028344,0.024761,0.021354,0.018131,0.0151,0.012271,0.009659,0.007277,0.005145,0.003291,0.001753,0.000597,0.0
10-2023,1.0,0.988633,0.977301,0.966003,0.954739,0.94351,0.932316,0.921157,0.910033,0.898945,0.887892,0.876876,0.865895,0.854951,0.844043,0.833172,0.822338,0.811542,0.800783,0.790061,0.779378,0.768732,0.758125,0.747557,0.737028,0.726538,0.716088,0.705677,0.695306,0.684976,0.674687,0.664438,0.65423,0.644064,0.63394,0.623858,0.613819,0.603822,0.593869,0.583958,0.574092,0.56427,0.554493,0.54476,0.535073,0.525431,0.515836,0.506287,0.496785,0.48733,0.477923,0.468565,0.459255,0.449994,0.440783,0.431622,0.422511,0.413452,0.404444,0.395489,0.386586,0.377737,0.368942,0.360201,0.351515,0.342885,0.334312,0.325796,0.317338,0.308938,0.300598,0.292318,0.284099,0.275942,0.267847,0.259816,0.251849,0.243948,0.236113,0.228346,0.220647,0.213018,0.20546,0.197974,0.190561,0.183223,0.175962,0.168777,0.161672,0.154648,0.147707,0.14085,0.134079,0.127396,0.120804,0.114305,0.107902,0.101596,0.095391,0.08929,0.083297,0.077414,0.071646,0.065997,0.060472,0.055077,0.049816,0.044697,0.039727,0.034915,0.030271,0.025807,0.021537,0.017478,0.013653,0.010091,0.006834,0.003946,0.001543,0.0
