contract_id,contract_type,side,seller_id,branch_code,currency,notional,rate_type,interest_rate,settlement_date,maturity_date,tenor_months,payment_frequency,day_count,business_day_convention,amortization_type,prepayment_allowed,prepayment_penalty,guarantee_type,rating
CNT-6A54CF1071EE,REVOLVER,ASSET,SLR-DE-008,FR,USD,1931542,floating,0.06752,2021-10-31,2024-09-15,35,semiannual,30/360,Preceding,linear,False,0.0182,commercial,BBB
CNT-95768FAD889B,SAVINGS,PASSIF,,ES,EUR,45929846,fixed,0.02793,2024-10-30,2027-12-14,38,monthly,ACT/365,,,,,,
CNT-E499DFC84677,COMMERCIAL_LOAN,ASSET,SLR-ES-003,ES,EUR,6227147,floating,0.05857,2025-10-21,2037-12-17,148,monthly,ACT/ACT,ModifiedFollowing,linear,False,0.0127,commercial,B
CNT-F85CE3721BB7,PAM,ASSET,SLR-ES-001,DE,GBP,9039043,floating,0.06808,2021-11-06,2048-09-15,327,annual,ACT/365,ModifiedFollowing,linear,True,0,commercial,AA
CNT-03958BC99593,MORTGAGE,ASSET,SLR-ES-002,FR,GBP,5462832,floating,0.06029,2025-03-04,2044-03-24,232,semiannual,ACT/365,ModifiedFollowing,constant_installment,False,0.0103,personal,AAA
CNT-06CA2D51AECE,ANNUITE,ASSET,SLR-DE-006,US,GBP,8244615,fixed,0.04904,2023-09-06,2039-02-14,188,monthly,ACT/365,Following,constant_installment,True,0,mortgage,BBB
CNT-2C475C004DC4,ANNUITE,ASSET,SLR-FR-002,FR,GBP,4555223,floating,0.06703,2024-06-22,2032-11-07,102,monthly,ACT/360,ModifiedFollowing,linear,True,0,commercial,A
CNT-CD817C9DC7C7,COMMERCIAL_LOAN,ASSET,SLR-FR-009,FR,GBP,4980190,floating,0.06833,2024-12-01,2027-12-16,37,semiannual,30/360,Preceding,bullet,True,0,none,BB
CNT-AFA57648E4EC,REVOLVER,ASSET,SLR-ES-001,DE,GBP,9641199,floating,0.06873,2024-08-06,2026-01-28,18,annual,ACT/365,Following,linear,False,0.0096,none,BBB
CNT-CEC017C7DFA6,MORTGAGE,ASSET,SLR-US-006,FR,GBP,9452881,fixed,0.03597,2024-06-27,2035-09-28,137,monthly,ACT/ACT,Preceding,bullet,True,0.0076,commercial,A
CNT-6DF54292944A,CERTIFICATE_OF_DEPOSIT,PASSIF,,FR,USD,17770100,fixed,0.02522,2025-08-20,2028-09-03,37,annual,ACT/365,,,,,,
CNT-D80CFD6570D7,MORTGAGE,ASSET,SLR-FR-004,US,EUR,9972498,fixed,0.03802,2023-07-23,2045-08-26,269,quarterly,ACT/365,Preceding,constant_installment,False,0,personal,A
CNT-57F95A98F38D,MORTGAGE,ASSET,SLR-US-010,ES,GBP,3781676,fixed,0.03459,2022-07-24,2045-04-24,277,quarterly,30/360,Following,linear,False,0.0165,mortgage,BBB
CNT-BB2B0762E32E,MORTGAGE,ASSET,SLR-US-006,US,GBP,8294509,floating,0.065,2023-09-27,2040-01-31,199,annual,ACT/365,Preceding,constant_installment,True,0,none,NR
CNT-A42421ECEC0F,ANNUITE,ASSET,SLR-US-012,DE,EUR,7429378,fixed,0.04076,2024-08-19,2035-06-23,132,annual,30/360,ModifiedFollowing,constant_installment,False,0,none,NR
CNT-F8398109088A,ANNUITE,ASSET,SLR-FR-015,US,USD,9239089,floating,0.07918,2025-12-26,2040-11-07,181,semiannual,ACT/365,ModifiedFollowing,linear,False,0.0165,none,B
CNT-E98BB33388B0,CERTIFICATE_OF_DEPOSIT,PASSIF,,DE,USD,3473607,fixed,0.00832,2024-03-01,2024-06-29,4,monthly,ACT/365,,,,,,
CNT-C9545023BB9F,ANNUITE,ASSET,SLR-US-011,ES,GBP,4024745,floating,0.06029,2022-03-19,2025-09-29,43,monthly,ACT/ACT,Following,linear,True,0,none,B
CNT-8B8B50E7D873,MORTGAGE,ASSET,SLR-ES-001,DE,GBP,6980771,floating,0.06705,2021-07-06,2047-10-18,320,quarterly,ACT/ACT,Preceding,linear,False,0,personal,NR
CNT-2532E90911F4,BULLET,ASSET,SLR-DE-002,ES,USD,53037,floating,0.07262,2024-08-09,2028-12-16,53,annual,ACT/360,ModifiedFollowing,bullet,False,0,commercial,BBB
CNT-7D5E2F5F36BD,SAVINGS,PASSIF,,US,GBP,21362451,fixed,0.0233,2024-11-18,2026-03-13,16,monthly,ACT/365,,,,,,
CNT-D05316346B79,BULLET,ASSET,SLR-ES-008,ES,USD,2128060,fixed,0.07859,2023-05-18,2026-03-03,34,monthly,ACT/ACT,Following,bullet,False,0,personal,BBB
CNT-D435C1E1DAE2,SAVINGS,PASSIF,,DE,EUR,43619799,fixed,0.03148,2024-09-15,2027-04-03,31,monthly,ACT/365,,,,,,
CNT-CA6338E91B29,MORTGAGE,ASSET,SLR-ES-005,US,GBP,8196400,floating,0.06627,2021-04-20,2039-07-15,222,monthly,ACT/360,Preceding,bullet,False,0.0149,commercial,AAA
CNT-BF2756925D0B,BULLET,ASSET,SLR-FR-006,US,EUR,495654,floating,0.06388,2025-12-07,2027-01-01,13,semiannual,ACT/365,ModifiedFollowing,constant_installment,True,0,commercial,BB
CNT-AE48AAB210B0,PAM,ASSET,SLR-DE-014,FR,EUR,4050453,fixed,0.05483,2023-05-27,2050-01-05,324,quarterly,ACT/ACT,Preceding,constant_installment,False,0,none,NR
CNT-E65ADD5D3CCE,ANNUITE,ASSET,SLR-FR-005,DE,GBP,5807629,fixed,0.04767,2022-11-24,2025-05-12,30,semiannual,ACT/ACT,ModifiedFollowing,linear,False,0.0021,commercial,BB
CNT-B36D9DA9FFBE,ANNUITE,ASSET,SLR-US-001,US,GBP,6650518,floating,0.06978,2024-08-26,2026-01-18,17,annual,ACT/365,Following,bullet,False,0,personal,BB
CNT-073FEDD0CA76,BULLET,ASSET,SLR-DE-006,DE,GBP,671401,fixed,0.03389,2024-06-17,2027-12-29,43,monthly,ACT/365,Preceding,linear,True,0.0065,commercial,AA
CNT-D3E9AEB7B81D,BULLET,ASSET,SLR-FR-004,ES,USD,8094065,floating,0.06747,2021-09-02,2026-04-09,56,monthly,ACT/ACT,Following,linear,True,0.0145,commercial,NR
CNT-E3F97DE50EF1,ANNUITE,ASSET,SLR-ES-014,ES,USD,7640043,fixed,0.06146,2024-02-16,2030-08-13,79,annual,ACT/365,Following,bullet,True,0,mortgage,BB
CNT-7B61BD5549E5,PAM,ASSET,SLR-US-003,ES,USD,2355069,floating,0.07112,2025-12-09,2054-03-12,344,annual,30/360,Following,linear,True,0,mortgage,B
CNT-0153B6320E5F,CERTIFICATE_OF_DEPOSIT,PASSIF,,DE,GBP,41325720,fixed,0.02934,2023-11-13,2027-10-23,48,quarterly,ACT/365,,,,,,
CNT-49CF7A321119,MORTGAGE,ASSET,SLR-ES-014,ES,EUR,6094862,floating,0.06901,2025-08-20,2049-03-17,287,semiannual,30/360,ModifiedFollowing,constant_installment,True,0.019,commercial,AAA
CNT-8A6E25DAC0AD,MORTGAGE,ASSET,SLR-DE-006,FR,GBP,4096407,fixed,0.06147,2025-06-27,2032-06-20,85,monthly,ACT/360,Preceding,linear,True,0,personal,NR
CNT-E053C4CFB72E,DEMAND_DEPOSIT,PASSIF,,ES,USD,11720303,fixed,0.03448,2025-05-19,,,monthly,ACT/365,,,,,,
CNT-CB19CDA58702,PAM,ASSET,SLR-FR-002,US,EUR,274762,floating,0.06178,2025-03-20,2036-02-21,133,quarterly,ACT/ACT,Preceding,linear,True,0,mortgage,BB
CNT-7451D150B0A4,MORTGAGE,ASSET,SLR-ES-001,DE,EUR,532621,fixed,0.03207,2025-11-07,2052-08-17,326,annual,30/360,ModifiedFollowing,bullet,False,0,none,A
CNT-BB926A0A7F6C,PAM,ASSET,SLR-FR-015,DE,USD,8911266,floating,0.07992,2024-07-16,2041-07-17,207,monthly,30/360,Preceding,bullet,True,0,personal,BBB
CNT-A1E96520BAEE,MORTGAGE,ASSET,SLR-US-010,DE,USD,4286341,fixed,0.05707,2024-02-04,2042-03-01,220,monthly,30/360,Following,linear,False,0,mortgage,NR
CNT-A27A436439F6,PAM,ASSET,SLR-ES-013,DE,GBP,5942391,floating,0.06122,2021-04-17,2050-06-14,355,monthly,ACT/365,Preceding,constant_installment,False,0,personal,AA
CNT-BE8DB591BB30,PAM,ASSET,SLR-US-015,DE,EUR,4683599,floating,0.05735,2022-12-22,2047-04-15,296,monthly,ACT/365,Following,linear,False,0.0062,mortgage,A
CNT-17805A6C8D7B,REVOLVER,ASSET,SLR-DE-003,FR,GBP,524340,floating,0.06142,2025-09-05,2026-12-29,16,annual,ACT/ACT,ModifiedFollowing,constant_installment,True,0,mortgage,NR
CNT-F5F34E371054,DEMAND_DEPOSIT,PASSIF,,ES,EUR,29746808,fixed,0.00707,2025-11-30,,,monthly,ACT/365,,,,,,
CNT-549FE628BF3C,ANNUITE,ASSET,SLR-US-008,ES,USD,5801039,fixed,0.06049,2023-10-13,2040-08-14,205,annual,ACT/365,Following,linear,False,0.0011,personal,A
CNT-F1CDF7DCC663,SAVINGS,PASSIF,,DE,USD,11800678,fixed,0.0138,2026-02-24,2027-09-17,19,monthly,ACT/365,,,,,,
CNT-035320FD9681,PAM,ASSET,SLR-US-002,DE,GBP,719714,floating,0.06397,2023-09-30,2027-09-09,48,monthly,ACT/365,Preceding,constant_installment,False,0.0084,none,BBB
CNT-7E16F18BFDA6,ANNUITE,ASSET,SLR-FR-013,US,GBP,6080880,floating,0.0669,2025-09-12,2044-02-05,224,quarterly,ACT/ACT,Preceding,constant_installment,True,0,mortgage,B
CNT-27DEAB5A8162,ANNUITE,ASSET,SLR-US-013,ES,EUR,8912071,fixed,0.04533,2023-05-02,2034-12-30,142,semiannual,ACT/360,Following,linear,True,0,personal,BB
CNT-EBD4379C55FA,BULLET,ASSET,SLR-ES-007,DE,EUR,7793840,fixed,0.04512,2021-12-17,2026-03-26,52,semiannual,ACT/365,Following,constant_installment,True,0,mortgage,NR
CNT-1D04F4228032,PAM,ASSET,SLR-FR-009,ES,GBP,640944,fixed,0.04847,2025-11-15,2039-11-02,170,monthly,30/360,Preceding,bullet,False,0,none,BBB
CNT-C49842F6F232,SAVINGS,PASSIF,,DE,USD,6955893,fixed,0.01955,2025-05-07,2028-07-20,39,monthly,ACT/365,,,,,,
CNT-9F76322471A8,COMMERCIAL_LOAN,ASSET,SLR-ES-004,FR,EUR,7354365,fixed,0.02991,2023-09-24,2025-07-15,22,semiannual,ACT/365,ModifiedFollowing,constant_installment,False,0.0136,none,NR
CNT-527BCA188C84,ANNUITE,ASSET,SLR-DE-002,FR,USD,4777195,fixed,0.06714,2024-10-11,2037-06-05,154,semiannual,30/360,Preceding,bullet,True,0.0062,commercial,AA
CNT-7716118EEF01,REVOLVER,ASSET,SLR-ES-015,US,USD,2154023,floating,0.07687,2022-06-08,2026-10-15,53,annual,ACT/365,Following,constant_installment,False,0,personal,A
CNT-C59BEB174754,CERTIFICATE_OF_DEPOSIT,PASSIF,,ES,EUR,6797441,fixed,0.04,2025-04-28,2026-07-22,15,annual,ACT/365,,,,,,
CNT-92F2CF5F741E,REVOLVER,ASSET,SLR-US-011,FR,EUR,6330310,floating,0.05262,2025-04-30,2029-07-08,51,quarterly,ACT/ACT,Following,constant_installment,False,0.0048,commercial,BB
CNT-1C764BDC3CBC,BULLET,ASSET,SLR-US-013,ES,USD,7878776,fixed,0.04957,2021-07-05,2024-07-19,37,annual,ACT/ACT,ModifiedFollowing,constant_installment,False,0.0163,personal,NR
CNT-CA1F75082E93,MORTGAGE,ASSET,SLR-DE-004,FR,USD,4792563,fixed,0.07405,2025-09-21,2052-05-02,324,semiannual,ACT/ACT,Preceding,linear,False,0,personal,NR
CNT-3C161E780777,ANNUITE,ASSET,SLR-FR-010,US,EUR,6284032,floating,0.05793,2024-11-14,2026-12-04,25,semiannual,ACT/360,Following,constant_installment,True,0.013,personal,AA
CNT-BF06883F4934,REVOLVER,ASSET,SLR-US-001,US,USD,7536283,fixed,0.06822,2022-09-28,2027-09-02,60,monthly,ACT/365,Following,linear,False,0,mortgage,AA
CNT-B69A477E9432,PAM,ASSET,SLR-ES-005,US,USD,8395742,floating,0.06666,2022-11-05,2026-06-17,44,quarterly,ACT/360,ModifiedFollowing,constant_installment,True,0.0048,commercial,AA
CNT-40C9E120A4AE,PAM,ASSET,SLR-US-002,DE,USD,8526493,fixed,0.06176,2023-02-01,2046-03-02,281,annual,30/360,Preceding,constant_installment,False,0,none,A
CNT-6139D91A4715,ANNUITE,ASSET,SLR-US-003,ES,GBP,5588736,fixed,0.05328,2025-06-11,2042-08-11,209,semiannual,ACT/360,Preceding,constant_installment,False,0.0162,none,B
CNT-B3B46FB8376D,MORTGAGE,ASSET,SLR-DE-015,ES,USD,713065,fixed,0.07164,2024-06-03,2031-02-27,82,annual,ACT/ACT,ModifiedFollowing,linear,True,0,none,NR
CNT-2CC0A027644C,ANNUITE,ASSET,SLR-FR-007,FR,USD,7387556,floating,0.071,2024-01-10,2043-08-28,239,annual,ACT/ACT,ModifiedFollowing,bullet,False,0.0145,none,BBB
CNT-9FA0A4F7D9B7,BULLET,ASSET,SLR-FR-004,ES,GBP,5511583,floating,0.06103,2022-06-27,2024-05-17,23,annual,ACT/ACT,Following,bullet,False,0,none,B
CNT-7803C588FE40,TERM_DEPOSIT,PASSIF,,DE,GBP,24391397,fixed,0.01171,2025-11-14,2028-03-03,28,annual,ACT/365,,,,,,
CNT-D9625B74369B,COMMERCIAL_LOAN,ASSET,SLR-ES-012,ES,EUR,3969345,floating,0.05252,2021-10-29,2023-06-21,20,semiannual,ACT/ACT,Preceding,linear,True,0.019,mortgage,BBB
CNT-7E03C4450915,MORTGAGE,ASSET,SLR-US-008,US,GBP,4685638,floating,0.06314,2024-10-16,2046-05-24,263,quarterly,ACT/ACT,Preceding,constant_installment,True,0,mortgage,B
CNT-71C34017676B,COMMERCIAL_LOAN,ASSET,SLR-US-012,DE,USD,1252387,floating,0.06684,2023-08-29,2028-10-31,63,monthly,ACT/365,Preceding,constant_installment,True,0.0058,mortgage,NR
CNT-85D97176AB4D,BULLET,ASSET,SLR-US-013,FR,GBP,3772150,fixed,0.04446,2025-07-06,2029-11-12,53,quarterly,ACT/ACT,Following,constant_installment,False,0,personal,BB
CNT-377434941DE8,DEMAND_DEPOSIT,PASSIF,,DE,USD,38590920,fixed,0.01653,2023-07-05,,,monthly,ACT/365,,,,,,
CNT-5B4B92D06C74,ANNUITE,ASSET,SLR-DE-012,FR,EUR,5789998,floating,0.0636,2025-06-22,2036-03-26,131,quarterly,ACT/ACT,Preceding,linear,True,0.0061,personal,A
CNT-6F1064AAFD43,SAVINGS,PASSIF,,FR,USD,42627959,fixed,0.0359,2025-10-01,2028-07-17,34,monthly,ACT/365,,,,,,
CNT-9E21F2E0F50E,MORTGAGE,ASSET,SLR-US-010,FR,GBP,9938898,fixed,0.05564,2022-12-08,2048-12-21,317,semiannual,30/360,Following,linear,True,0.0154,mortgage,B
CNT-370A5C4C5D40,MORTGAGE,ASSET,SLR-ES-012,ES,GBP,9163271,fixed,0.06556,2024-07-26,2050-05-11,314,annual,ACT/360,Preceding,constant_installment,False,0,none,AA
CNT-F86B42F8DC34,MORTGAGE,ASSET,SLR-DE-011,ES,EUR,5367240,floating,0.05625,2022-01-28,2032-12-31,133,annual,ACT/360,ModifiedFollowing,bullet,True,0,commercial,AAA
CNT-6CE1E41796BE,PAM,ASSET,SLR-DE-011,FR,EUR,7025136,fixed,0.05782,2024-10-19,2037-12-10,160,semiannual,ACT/365,Following,linear,False,0.0093,mortgage,BBB
CNT-B247ABC2D17D,REVOLVER,ASSET,SLR-US-004,ES,GBP,5930597,floating,0.06215,2025-12-02,2028-02-20,27,annual,ACT/ACT,ModifiedFollowing,bullet,True,0.0086,mortgage,B
CNT-9121A1DACDA6,ANNUITE,ASSET,SLR-ES-006,ES,EUR,3275774,floating,0.06141,2024-02-28,2026-03-19,25,monthly,ACT/ACT,Preceding,constant_installment,False,0.0125,none,AA
CNT-8E549C0B4029,CERTIFICATE_OF_DEPOSIT,PASSIF,,FR,USD,40440604,fixed,0.03948,2024-02-22,2028-05-01,51,annual,ACT/365,,,,,,
CNT-759DD9B485CF,PAM,ASSET,SLR-DE-013,FR,GBP,2508809,floating,0.06519,2022-10-17,2043-08-28,254,semiannual,ACT/365,Following,constant_installment,False,0.0101,commercial,B
CNT-753D45DB2F02,MORTGAGE,ASSET,SLR-FR-005,US,EUR,6998386,floating,0.06348,2022-12-02,2041-09-23,229,annual,ACT/365,Preceding,bullet,True,0.0117,personal,BB
CNT-F21D9C499046,MORTGAGE,ASSET,SLR-US-002,DE,USD,1853740,fixed,0.04126,2025-02-14,2040-03-27,184,semiannual,ACT/ACT,Following,constant_installment,True,0,commercial,NR
CNT-3AC9387B1B3F,BULLET,ASSET,SLR-ES-001,DE,GBP,5463426,fixed,0.03829,2022-06-24,2025-06-08,36,semiannual,ACT/360,ModifiedFollowing,bullet,False,0.0135,mortgage,BB
CNT-D25E78610AB6,COMMERCIAL_LOAN,ASSET,SLR-FR-004,FR,USD,5003143,floating,0.07912,2021-11-13,2027-07-15,69,annual,ACT/365,ModifiedFollowing,constant_installment,False,0,commercial,BBB
CNT-DDD74123526F,COMMERCIAL_LOAN,ASSET,SLR-DE-015,DE,EUR,1335893,floating,0.05575,2024-04-01,2026-01-21,22,semiannual,ACT/ACT,Following,linear,False,0.0139,personal,AAA
CNT-A84A7DD9C9F2,MORTGAGE,ASSET,SLR-US-007,DE,EUR,3916349,fixed,0.02903,2025-11-24,2053-01-31,331,semiannual,ACT/ACT,Following,bullet,True,0,personal,BBB
CNT-2340E68C8258,REVOLVER,ASSET,SLR-FR-004,US,USD,4829172,floating,0.06799,2024-05-23,2028-09-29,53,monthly,ACT/360,Preceding,bullet,True,0.0035,personal,AAA
CNT-3CB401F4F590,CERTIFICATE_OF_DEPOSIT,PASSIF,,US,USD,20034762,fixed,0.03753,2024-07-27,2025-07-22,12,annual,ACT/365,,,,,,
CNT-CF0A05942A3F,TERM_DEPOSIT,PASSIF,,DE,USD,18319786,fixed,0.03957,2023-06-04,2025-11-20,30,monthly,ACT/365,,,,,,
CNT-AE2CA4441CF3,BULLET,ASSET,SLR-FR-004,FR,GBP,5665803,floating,0.06186,2021-10-04,2025-09-13,48,quarterly,ACT/ACT,ModifiedFollowing,bullet,False,0,none,AA
CNT-BFF398F693C1,CERTIFICATE_OF_DEPOSIT,PASSIF,,FR,USD,29989913,fixed,0.01067,2024-09-23,2029-08-28,60,quarterly,ACT/365,,,,,,
CNT-C1A28C4DE6ED,BULLET,ASSET,SLR-ES-013,US,EUR,3974499,floating,0.05719,2025-11-04,2029-06-16,44,annual,ACT/365,Following,constant_installment,False,0.0128,mortgage,A
CNT-A47387799786,PAM,ASSET,SLR-ES-015,DE,EUR,6278384,floating,0.0591,2023-11-11,2031-04-03,90,quarterly,ACT/360,Preceding,bullet,True,0.0106,mortgage,AAA
CNT-3F60263BB34E,DEMAND_DEPOSIT,PASSIF,,FR,EUR,11051901,fixed,0.03332,2023-05-11,,,monthly,ACT/365,,,,,,
CNT-CF4F8C42E663,CERTIFICATE_OF_DEPOSIT,PASSIF,,DE,EUR,3743655,fixed,0.00901,2023-06-14,2027-01-24,44,quarterly,ACT/365,,,,,,
CNT-EFA764E1386A,MORTGAGE,ASSET,SLR-DE-008,US,GBP,6652917,floating,0.06723,2024-10-06,2042-08-03,217,quarterly,30/360,Following,constant_installment,False,0.0108,none,AAA
CNT-4C2683FB669D,CERTIFICATE_OF_DEPOSIT,PASSIF,,ES,EUR,25677772,fixed,0.01695,2025-06-07,2026-12-29,19,quarterly,ACT/365,,,,,,
CNT-EC90AEA58DD5,CERTIFICATE_OF_DEPOSIT,PASSIF,,US,EUR,11987162,fixed,0.0386,2025-06-12,2029-01-22,44,annual,ACT/365,,,,,,
CNT-9C3FCF113FCC,COMMERCIAL_LOAN,ASSET,SLR-ES-005,DE,EUR,9144277,fixed,0.03852,2023-10-25,2031-01-16,88,quarterly,ACT/360,ModifiedFollowing,constant_installment,True,0,none,AAA
CNT-B386EE579285,ANNUITE,ASSET,SLR-FR-014,US,EUR,9974729,fixed,0.02269,2026-01-02,2031-04-06,64,quarterly,30/360,ModifiedFollowing,constant_installment,True,0.0151,none,AA
