position_ref,product_type,branch,seller,currency,outstanding,origination_date,maturity_date,client_rate,risk_weight,profiles_json,rates_json
CNT-AF33AF39FD84,demand_deposit,ES,,USD,11720303.0,2025-05-18,,0.03448,1.0,"[0.0, 0.0]",[0.0532]
CNT-582ADF4FEEE8,demand_deposit,ES,,EUR,29746808.0,2025-11-29,,0.00707,1.0,"[0.0, 0.0]",[0.029]
CNT-56D4063E907B,savings,DE,,USD,11800678.0,2026-02-23,2027-09-16,0.0138,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495]"
CNT-6CC2FB4FE305,savings,DE,,USD,6955893.0,2025-05-06,2028-07-19,0.01955,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455]"
CNT-DCE7DD585C86,certificate_of_deposit,ES,,EUR,6797441.0,2025-04-27,2026-07-21,0.04,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305]"
CNT-C4D493E87A05,term_deposit,DE,,GBP,24391397.0,2025-11-13,2028-03-02,0.01171,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044]"
CNT-61A36F5714AE,demand_deposit,DE,,USD,38590920.0,2023-07-04,,0.01653,1.0,"[0.0, 0.0]",[0.0532]
CNT-235E2139D01D,savings,FR,,USD,42627959.0,2025-09-30,2028-07-16,0.0359,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047]"
CNT-9CCCC8619710,certificate_of_deposit,FR,,USD,40440604.0,2024-02-21,2028-04-30,0.03948,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455]"
CNT-1D5CA0A353BB,certificate_of_deposit,US,,USD,20034762.0,2024-07-26,2025-07-21,0.03753,1.0,"[1.0, 1.0, 1.0, 0.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495]"
CNT-2E2FB2ED4B59,term_deposit,DE,,USD,18319786.0,2023-06-03,2025-11-19,0.03957,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047]"
CNT-3EBA9ADC7835,certificate_of_deposit,FR,,USD,29989913.0,2024-09-22,2029-08-27,0.01067,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455, 0.044]"
CNT-E306F043E456,demand_deposit,FR,,EUR,11051901.0,2023-05-10,,0.03332,1.0,"[0.0, 0.0]",[0.029]
CNT-BEE2EADBEBA0,certificate_of_deposit,DE,,EUR,3743655.0,2023-06-13,2027-01-23,0.00901,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305, 0.029, 0.028]"
CNT-3761DA2B60ED,certificate_of_deposit,ES,,EUR,25677772.0,2025-06-06,2026-12-28,0.01695,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305]"
CNT-0D298F7F1706,certificate_of_deposit,US,,EUR,11987162.0,2025-06-11,2029-01-21,0.0386,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305, 0.029, 0.028]"
CNT-0964AE5B4EE5,savings,FR,,USD,26076361.0,2023-11-16,2028-09-20,0.00325,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455]"
CNT-BB102F955AAF,demand_deposit,FR,,EUR,46692689.0,2025-07-13,,0.03755,1.0,"[0.0, 0.0]",[0.029]
CNT-4A12D5630C41,demand_deposit,FR,,EUR,39405326.0,2024-06-04,,0.03722,1.0,"[0.0, 0.0]",[0.029]
CNT-CD2BC29ECAD2,certificate_of_deposit,ES,,USD,40490822.0,2025-06-05,2027-09-23,0.0328,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047]"
CNT-BB06AA1F83CC,term_deposit,FR,,EUR,33209758.0,2024-12-19,2029-02-26,0.02184,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305, 0.029, 0.028]"
CNT-A89837B13F2A,savings,ES,,GBP,16813340.0,2024-08-26,2026-04-18,0.0072,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465]"
CNT-FD4372ED4183,demand_deposit,DE,,GBP,19843491.0,2025-01-14,,0.03516,1.0,"[0.0, 0.0]",[0.0492]
CNT-CC949651444C,savings,DE,,EUR,41100542.0,2023-10-03,2025-01-25,0.00436,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305]"
CNT-18C85D9CD00E,term_deposit,DE,,EUR,48625731.0,2025-11-27,2026-02-25,0.03775,1.0,"[1.0, 0.0, 0.0]","[0.029, 0.0298]"
CNT-2A17D595C87C,savings,FR,,GBP,11827895.0,2024-01-05,2028-07-12,0.03932,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044, 0.0425]"
CNT-8D287ABB75CC,savings,ES,,EUR,44341974.0,2025-02-14,2025-09-12,0.01391,1.0,"[1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03]"
CNT-35EE8C38F59A,certificate_of_deposit,US,,USD,30144546.0,2025-12-29,2026-06-27,0.0164,1.0,"[1.0, 1.0, 0.0, 0.0]","[0.0532, 0.0528, 0.052]"
CNT-0163470EF882,term_deposit,ES,,USD,48037697.0,2023-08-16,2026-08-30,0.03582,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455]"
CNT-2D73A92D0A94,certificate_of_deposit,FR,,EUR,44962493.0,2024-06-05,2024-11-02,0.0112,1.0,"[1.0, 1.0, 0.0]","[0.029, 0.0298]"
CNT-6655E8CF7DC7,demand_deposit,ES,,EUR,49798717.0,2024-05-16,,0.03924,1.0,"[0.0, 0.0]",[0.029]
CNT-30ED3A6A9464,certificate_of_deposit,FR,,EUR,12553027.0,2024-08-12,2025-11-05,0.00401,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305]"
CNT-8663BC55AE5A,term_deposit,DE,,GBP,46939996.0,2025-07-10,2027-08-29,0.0297,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044]"
CNT-0A815BA27C36,certificate_of_deposit,FR,,USD,33497278.0,2024-09-05,2026-07-27,0.00952,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495]"
CNT-1A586C7B7758,savings,US,,USD,803225.0,2023-08-11,2024-04-07,0.02823,1.0,"[1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052]"
CNT-261AFFD0B523,term_deposit,ES,,USD,15834617.0,2024-11-27,2025-11-22,0.02328,1.0,"[1.0, 1.0, 1.0, 0.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495]"
CNT-35D2D8484435,term_deposit,FR,,GBP,12350393.0,2023-08-31,2026-10-14,0.02132,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044, 0.0425]"
CNT-8B70A21DD8B8,term_deposit,DE,,GBP,35138792.0,2025-03-13,2027-07-31,0.00627,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044]"
CNT-27781C768250,certificate_of_deposit,FR,,GBP,36491757.0,2023-06-11,2025-10-28,0.0228,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044]"
CNT-A741C3407826,demand_deposit,FR,,EUR,35322148.0,2024-01-11,,0.02928,1.0,"[0.0, 0.0]",[0.029]
CNT-D8FCCDA6855D,term_deposit,FR,,USD,37802001.0,2023-10-11,2025-12-29,0.0308,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047]"
CNT-CA23715FC6C5,demand_deposit,US,,GBP,2542440.0,2023-04-28,,0.03307,1.0,"[0.0, 0.0]",[0.0492]
CNT-936E98C409D4,term_deposit,ES,,EUR,15148598.0,2024-01-08,2027-05-22,0.01105,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305, 0.029, 0.028]"
CNT-7DD2C60CE7B2,demand_deposit,ES,,EUR,41019539.0,2025-03-10,,0.01726,1.0,"[0.0, 0.0]",[0.029]
CNT-B4524E76700D,term_deposit,DE,,EUR,4551033.0,2024-05-18,2024-11-14,0.03097,1.0,"[1.0, 1.0, 0.0, 0.0]","[0.029, 0.0298, 0.03]"
CNT-0A507F000539,term_deposit,FR,,EUR,39952650.0,2025-04-05,2027-01-25,0.03936,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305]"
CNT-97927F6DFFB1,term_deposit,US,,EUR,18307514.0,2024-05-26,2025-06-20,0.01218,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305]"
CNT-89320FD0F336,savings,DE,,EUR,31065493.0,2023-06-13,2025-08-31,0.03442,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305, 0.029]"
CNT-7F74AFEFA72F,certificate_of_deposit,DE,,USD,33661746.0,2024-04-02,2024-07-31,0.00347,1.0,"[1.0, 1.0, 0.0]","[0.0532, 0.0528]"
CNT-B530117A5F8D,savings,DE,,GBP,39829531.0,2024-04-07,2027-09-19,0.0141,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044, 0.0425]"
CNT-D60C266986AF,savings,FR,,GBP,15975556.0,2025-03-16,2028-01-30,0.01212,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044]"
CNT-DE910ABF9E19,savings,ES,,USD,23085182.0,2025-01-14,2026-06-08,0.01542,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495]"
CNT-776D3C737659,savings,US,,GBP,49109564.0,2023-09-17,2027-07-28,0.03637,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044, 0.0425]"
CNT-4FF69C9EDE7C,savings,US,,USD,48174490.0,2023-12-08,2025-05-01,0.00285,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495]"
CNT-44B2BAFF8843,certificate_of_deposit,ES,,USD,6066596.0,2023-12-27,2024-01-26,0.03648,1.0,"[0.0, 0.0]",[0.0532]
CNT-A7A1244AC105,savings,ES,,USD,5385054.0,2023-11-29,2027-04-12,0.01337,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455]"
CNT-82C7BE8BA017,certificate_of_deposit,US,,GBP,10770459.0,2024-04-28,2026-07-17,0.03713,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044]"
CNT-E6A0B86D7E44,savings,ES,,EUR,7851137.0,2023-10-06,2025-06-27,0.0287,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305]"
CNT-BE76BAFA0C2F,certificate_of_deposit,ES,,USD,41143141.0,2023-10-12,2027-09-21,0.01506,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455]"
CNT-24E78D55F441,savings,DE,,EUR,35871366.0,2024-09-25,2025-09-20,0.00405,1.0,"[1.0, 1.0, 1.0, 0.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305]"
CNT-FC04BCEA8525,certificate_of_deposit,FR,,USD,19795800.0,2023-09-02,2026-03-20,0.00177,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047]"
CNT-575B147BB1D5,demand_deposit,US,,GBP,7116282.0,2023-09-26,,0.00297,1.0,"[0.0, 0.0]",[0.0492]
CNT-A96395A01B0A,savings,US,,USD,42396465.0,2025-12-25,2026-04-24,0.01634,1.0,"[1.0, 1.0, 0.0]","[0.0532, 0.0528]"
CNT-78202FFB2AB6,demand_deposit,FR,,GBP,37525646.0,2023-07-15,,0.00929,1.0,"[0.0, 0.0]",[0.0492]
CNT-F2B898DB4E56,demand_deposit,ES,,GBP,38380483.0,2025-07-28,,0.03424,1.0,"[0.0, 0.0]",[0.0492]
CNT-18BB168ABA20,term_deposit,FR,,GBP,28138500.0,2024-03-14,2024-04-13,0.02049,1.0,"[0.0, 0.0]",[0.0492]
CNT-94B5759F38DC,certificate_of_deposit,US,,USD,24749834.0,2025-10-18,2026-12-12,0.01009,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495]"
CNT-069A12A1DB76,savings,FR,,GBP,18382814.0,2025-12-11,2028-12-25,0.00473,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044, 0.0425]"
CNT-E937337AE2BD,term_deposit,US,,USD,8363544.0,2025-10-16,2028-06-02,0.013,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047]"
CNT-AA7A8D366FAF,certificate_of_deposit,ES,,EUR,49263439.0,2024-06-30,2028-12-06,0.01765,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305, 0.029, 0.028]"
CNT-401FCDB78427,demand_deposit,ES,,EUR,14071021.0,2024-04-04,,0.02581,1.0,"[0.0, 0.0]",[0.029]
CNT-D647B4055831,certificate_of_deposit,FR,,GBP,12887173.0,2025-01-23,2029-06-01,0.00929,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044, 0.0425]"
CNT-0E1F67B5E2B2,certificate_of_deposit,ES,,GBP,5761703.0,2025-04-04,2030-02-07,0.02535,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044, 0.0425]"
CNT-B8BC3EF1B611,term_deposit,DE,,EUR,15683855.0,2025-12-07,2029-04-20,0.01505,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305, 0.029, 0.028]"
CNT-9FC54899220D,term_deposit,US,,USD,44669363.0,2024-09-29,2028-11-07,0.01193,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455]"
CNT-325EEDDBAF29,certificate_of_deposit,ES,,GBP,31811263.0,2025-11-15,2030-04-23,0.00756,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044, 0.0425]"
CNT-FAB6573B9A28,savings,ES,,USD,39525514.0,2025-07-01,2026-01-27,0.03153,1.0,"[1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052]"
CNT-0500518448DD,demand_deposit,FR,,GBP,5051377.0,2025-03-30,,0.0185,1.0,"[0.0, 0.0]",[0.0492]
CNT-88148A2B98D9,certificate_of_deposit,US,,USD,11808664.0,2023-10-20,2025-09-09,0.01474,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495]"
CNT-7B18DA7BFA85,demand_deposit,US,,EUR,48848066.0,2025-05-31,,0.00215,1.0,"[0.0, 0.0]",[0.029]
CNT-F11FE132C66A,demand_deposit,DE,,USD,19704676.0,2025-12-31,,0.00752,1.0,"[0.0, 0.0]",[0.0532]
CNT-A5ADB645454A,savings,ES,,USD,38748073.0,2023-10-26,2024-11-19,0.00368,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495]"
CNT-052EAFE0893F,savings,DE,,GBP,24130263.0,2026-01-06,2026-11-02,0.01493,1.0,"[1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048]"
CNT-D1D8C0AB00ED,savings,DE,,USD,2758315.0,2024-07-15,2027-03-02,0.01224,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047]"
CNT-7A275FDAE1DD,savings,FR,,GBP,20213946.0,2025-06-06,2029-07-15,0.00878,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044, 0.0425]"
CNT-6EF54CF98109,certificate_of_deposit,FR,,USD,48876202.0,2024-11-11,2028-11-20,0.01003,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455]"
CNT-E1288DDAD81A,demand_deposit,DE,,EUR,3509084.0,2024-01-24,,0.02183,1.0,"[0.0, 0.0]",[0.029]
CNT-07BD422AA4A8,certificate_of_deposit,FR,,USD,25598008.0,2023-04-13,2026-04-27,0.02905,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455]"
CNT-AC6B6D81C0F2,savings,FR,,EUR,36436997.0,2024-08-26,2026-02-17,0.03218,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305]"
CNT-7A40B0B9831B,certificate_of_deposit,US,,GBP,18561954.0,2023-11-25,2028-06-01,0.02271,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044, 0.0425]"
CNT-4FD554456CA0,certificate_of_deposit,DE,,EUR,8547756.0,2024-08-22,2026-01-14,0.03087,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305]"
CNT-718A7D95E2C6,demand_deposit,FR,,EUR,25433501.0,2024-06-07,,0.02475,1.0,"[0.0, 0.0]",[0.029]
CNT-CA911B372C22,certificate_of_deposit,FR,,GBP,48577185.0,2023-07-07,2027-12-13,0.01799,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044, 0.0425]"
CNT-2A8CC3BAB704,demand_deposit,DE,,EUR,21514154.0,2024-02-12,,0.03593,1.0,"[0.0, 0.0]",[0.029]
CNT-56B5F9D4308B,term_deposit,FR,,GBP,19484776.0,2024-02-08,2025-10-30,0.02499,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465]"
CNT-80908B0F28B4,demand_deposit,DE,,USD,22225391.0,2025-01-26,,0.02836,1.0,"[0.0, 0.0]",[0.0532]
CNT-1BC0FB8EF621,demand_deposit,FR,,EUR,21317150.0,2025-03-02,,0.0368,1.0,"[0.0, 0.0]",[0.029]
CNT-F4A1A84EA5D3,savings,US,,GBP,20764995.0,2024-04-27,2028-05-06,0.00644,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044, 0.0425]"
CNT-EBCC4E6410E1,term_deposit,US,,EUR,31199728.0,2023-08-22,2026-05-08,0.0327,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305, 0.029]"
CNT-80DB82AE2505,certificate_of_deposit,DE,,USD,22656674.0,2024-02-13,2024-06-12,0.03568,1.0,"[1.0, 1.0, 0.0]","[0.0532, 0.0528]"
CNT-69FE30BA9398,savings,ES,,EUR,37052459.0,2025-03-12,2028-11-21,0.02898,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305, 0.029, 0.028]"
CNT-761AA0E5E435,certificate_of_deposit,ES,,GBP,31684153.0,2024-09-05,2027-11-19,0.03176,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044, 0.0425]"
CNT-F216184B0241,savings,DE,,EUR,49599195.0,2024-08-20,2028-09-28,0.02767,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305, 0.029, 0.028]"
CNT-8E1F1308F8EE,term_deposit,FR,,GBP,12683332.0,2025-01-24,2027-07-13,0.02649,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044]"
CNT-D867B800965D,savings,DE,,USD,1716168.0,2023-09-22,2023-11-21,0.00636,1.0,"[1.0, 0.0]",[0.0532]
CNT-2C9256BF60B4,term_deposit,ES,,GBP,32086624.0,2025-01-04,2026-09-26,0.01719,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465]"
CNT-84052096CC0F,demand_deposit,US,,EUR,23812245.0,2023-11-01,,0.01582,1.0,"[0.0, 0.0]",[0.029]
CNT-1AAA22B6849C,demand_deposit,US,,USD,43659795.0,2024-07-03,,0.03789,1.0,"[0.0, 0.0]",[0.0532]
CNT-366E5E81C397,demand_deposit,FR,,USD,16719981.0,2024-05-17,,0.02946,1.0,"[0.0, 0.0]",[0.0532]
CNT-696F9E6ED0C2,savings,DE,,USD,13705368.0,2025-04-12,2029-12-17,0.03707,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455]"
CNT-7471179B8C48,certificate_of_deposit,FR,,GBP,42599342.0,2025-03-02,2025-06-30,0.03197,1.0,"[1.0, 1.0, 0.0]","[0.0492, 0.0488]"
CNT-6D7B122F7D4D,savings,FR,,USD,36303920.0,2025-04-05,2026-03-01,0.00491,1.0,"[1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052]"
CNT-D16935225282,demand_deposit,US,,USD,40688670.0,2025-08-30,,0.01862,1.0,"[0.0, 0.0]",[0.0532]
CNT-A74A40DD8A05,demand_deposit,US,,GBP,322796.0,2025-03-30,,0.01555,1.0,"[0.0, 0.0]",[0.0492]
CNT-D68B566A10BB,savings,ES,,GBP,11892144.0,2026-03-01,2026-10-27,0.03705,1.0,"[1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048]"
CNT-CBC5CBE22069,savings,DE,,GBP,21249330.0,2025-01-29,2027-03-20,0.02343,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0492, 0.0488, 0.048, 0.0465, 0.044]"
CNT-926050AA3A8A,savings,US,,USD,5764589.0,2025-12-28,2027-09-19,0.0248,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495]"
CNT-D58DCEF6480F,demand_deposit,FR,,USD,49911098.0,2024-06-07,,0.03425,1.0,"[0.0, 0.0]",[0.0532]
CNT-14ABEA8D18FA,term_deposit,DE,,EUR,22734455.0,2024-06-02,2026-05-23,0.02531,1.0,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[0.029, 0.0298, 0.03, 0.0305, 0.029]"
CNT-445CC3071251,demand_deposit,FR,,EUR,7457192.0,2024-07-04,,0.00626,1.0,"[0.0, 0.0]",[0.029]
CNT-F9B3CE917B58,term_deposit,DE,,USD,1080757.0,2025-09-21,2029-07-02,0.03192,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0532, 0.0528, 0.052, 0.0495, 0.047, 0.0455]"
CNT-3E18336E5121,demand_deposit,US,,GBP,8635222.0,2023-05-03,,0.03662,1.0,"[0.0, 0.0]",[0.0492]
CNT-AFCE9F2FB323,demand_deposit,US,,GBP,12463714.0,2025-05-30,,0.00576,1.0,"[0.0, 0.0]",[0.0492]
CNT-8FBF71CF6CD0,demand_deposit,DE,,USD,40799952.0,2025-10-24,,0.0385,1.0,"[0.0, 0.0]",[0.0532]
